EmployeeID,FirstName,LastName,Department,JobTitle,Phone,Email
1,Gregory,Thompson,IT Support,Developer,914-154-0011,jacqueline48@parsons.com
2,Alexander,Martin,HR,Executive,001-639-060-9549x0697,emily46@mcdonald.net
3,Monique,Li,Marketing,Engineer,8924611307,acostabenjamin@gmail.com
4,Jose,Rodriguez,Marketing,Engineer,001-842-595-8503x976,jason22@gonzalez.net
5,Rachel,Rivera,Engineering,Developer,001-762-443-0664x95833,anita62@yahoo.com
6,Jason,Davidson,HR,Coordinator,001-277-164-4101,pamelaspencer@gonzales-barrett.com
7,Nathan,Leon,IT Support,Engineer,+1-890-260-3345,weavermark@davis.org
8,Jennifer,Martinez,Finance,Engineer,+1-368-818-7306x5749,juliaharris@yahoo.com
9,Carol,Hughes,Engineering,Manager,001-285-137-7637x89946,dwaynegomez@hotmail.com
10,Robert,Mccarthy,HR,Coordinator,(442)914-9488,daniellehendricks@hansen.com
11,Terry,Schmidt,Sales,Developer,783-097-2893,mcastaneda@gmail.com
12,Linda,Alexander,Engineering,Analyst,450.384.3801,uwhite@yahoo.com
13,Holly,Ford,Sales,Coordinator,718-450-9213x306,donald71@gmail.com
14,Cynthia,Martin,Marketing,Manager,(649)259-0826x420,brianroach@yahoo.com
15,Melissa,Gardner,HR,Executive,(793)367-2415x769,calderonnicholas@fowler-gray.com
16,Amanda,Lawson,Sales,Developer,095-488-5591x630,tarapope@rangel.com
17,John,Vasquez,HR,Manager,706-039-9317x873,andersonshannon@young.com
18,Belinda,Baker,HR,Manager,094-937-4989x84928,cynthia96@becker.com
19,Adam,White,Finance,Analyst,682.622.2706x08171,gillsamantha@dunn-smith.com
20,Cheryl,Wilkerson,HR,Coordinator,550.847.6916x374,sextonmaria@hotmail.com
21,Sharon,Hayes,Marketing,Analyst,001-884-204-8995,anthonystanton@kelly.com
22,Sarah,Dominguez,HR,Analyst,+1-412-824-3867x795,william15@gmail.com
23,Debra,Moore,Finance,Coordinator,001-837-838-1342x97887,nelsonalicia@yahoo.com
24,Kimberly,Bell,Marketing,Manager,(557)466-8045,laura84@hotmail.com
